Census,pop,power converted,actual power,census_lat,census_long,Socioeconomic,Household Composition & Disability,Minority Status & Language,Housing Type & Transportation,SVI,disadvantaged,d,Bus,Latitude,Longitude
48479001201,2564,6.16,5.51679744,27.52667755,-99.49749001,0.9614,0.8991,0.9971,0.8201,0.9754,1,33,4068,26.307831,-98.039361
48029171915,2240,5.38,4.21549353,29.42307507,-98.68368387,0.6358,0.8094,0.6798,0.1508,0.552,0,34,4069,27.771237,-97.518791
48355980000,14,0.03,0.02350647,27.77322519,-97.50594285,0,0,0.3116,0,0,0,34,4069,27.771237,-97.518791
48061014400,20553,49.38,62.15930283,25.99092798,-97.48230591,0.66,0.6715,0.8579,0.1792,0.5883,0,35,4071,25.943923,-97.317944
48061012504,17713,42.56,53.57432014,25.96021866,-97.52641894,0.6064,0.5786,0.9036,0.404,0.6381,1,35,4071,25.943923,-97.317944
48061014100,13802,33.16,41.74164605,25.88083732,-97.39784215,0.9718,0.4103,0.9311,0.7019,0.8738,1,35,4071,25.943923,-97.317944
48061014500,8901,21.38,26.91303958,25.95523681,-97.47876034,0.5508,0.5792,0.8841,0.7608,0.7164,0,35,4071,25.943923,-97.317944
48479001806,6348,15.25,19.19662552,27.45880594,-99.46669529,0.9729,0.6583,0.9191,0.5444,0.8733,1,35,4071,25.943923,-97.317944
48061012700,5289,12.71,15.99928593,25.98134232,-97.25945206,0.9447,0.5298,0.9799,0.3428,0.7867,1,35,4071,25.943923,-97.317944
48061013207,5118,12.3,15.48317993,25.92886651,-97.41656011,0.9683,0.8941,0.9168,0.6294,0.9326,1,35,4071,25.943923,-97.317944
48061013305,4665,11.21,14.11109325,25.89797995,-97.44289997,0.9457,0.6822,0.9621,0.2415,0.7732,1,35,4071,25.943923,-97.317944
48061013205,3604,8.66,10.90116571,25.92278071,-97.4420469,0.9561,0.8623,0.9889,0.7765,0.9597,1,35,4071,25.943923,-97.317944
48061013308,3603,8.66,10.90116571,25.88612954,-97.44648914,0.9908,0.8138,0.9952,0.6292,0.947,1,35,4071,25.943923,-97.317944
48061013206,3463,8.32,10.47317537,25.9247281,-97.42715688,0.9992,0.5595,0.983,0.7825,0.9505,1,35,4071,25.943923,-97.317944
48479001711,7103,17.07,51.708,27.63625592,-99.54378847,0.5993,0.443,0.9093,0.5567,0.6586,1,36,4072,27.768021,-97.399135
48215020301,10319,24.79,26.99630561,26.22506693,-98.28759085,0.2562,0.4763,0.7731,0.6447,0.51,0,37,4073,26.208,-98.3992
48215020402,9212,22.13,24.09956608,26.17722178,-98.31140262,0.3475,0.1889,0.903,0.5954,0.4887,0,37,4073,26.208,-98.3992
48215024205,8846,21.25,23.14124624,26.2368052,-98.44968818,0.8495,0.9711,0.9283,0.6127,0.9188,1,37,4073,26.208,-98.3992
48215020102,8546,20.53,22.35716636,26.17554628,-98.35030911,0.7993,0.9638,0.7379,0.5122,0.8301,1,37,4073,26.208,-98.3992
48427950600,7434,17.86,19.44953684,26.37655161,-98.83306542,0.9626,0.9318,0.9709,0.9538,0.9935,1,37,4073,26.208,-98.3992
48215024203,6625,15.92,17.33687718,26.25854721,-98.44130492,0.7029,0.9784,0.7689,0.6873,0.8558,1,37,4073,26.208,-98.3992
48427950401,5456,13.11,14.27678768,26.28799049,-98.66773375,0.9937,0.9544,0.9786,0.6417,0.9725,1,37,4073,26.208,-98.3992
